HANDLE	BLOCKNAME	NOMBRE	BUFFER	CANTIDADSPLITTER	ELEMENTO	TOPOLOGIA	HILOSFDT
'2EF0F8	*U972	M16-CS11-N4	8	1	NAP	<>	<>
'2EF0AE	*U972	M16-CS11-N3	8	1	NAP	<>	<>
'2EF064	*U972	M16-CS11-N2	8	1	NAP	<>	<>
'2EF013	*U972	M16-CS11-N1	8	1	NAP	<>	<>
'2EEFA2	*U971	CL3-D1-M16	8	<>	FDT	A	11
'2AEFD5	*U972	M4-CS2-N2	5	1	NAP	<>	<>
'2AE913	*U972	M4-CS2-N1	5	1	NAP	<>	<>
'2B0FD0	CAJA EMPALME 144	OBTO02-CL2	<>	<>	CLOSURE	<>	<>
'2B8ED4	CAJA EMPALME 144	OBTO02-CL1	<>	<>	CLOSURE	<>	<>
'2B960F	MODULO NAP	M9-CS5-N4	11	1	NAP	<>	<>
'2B9603	MODULO NAP	M9-CS5-N3	11	1	NAP	<>	<>
'2B95F7	MODULO NAP	M9-CS5-N2	11	1	NAP	<>	<>
'2B95EB	MODULO NAP	M9-CS5-N1	11	1	NAP	<>	<>
'2B4173	*U972	M6-CS11B-N2	5	1	NAP	<>	<>
'2B4169	*U972	M6-CS11B-N3	5	1	NAP	<>	<>
'2B415F	*U972	M6-CS11B-N4	5	1	NAP	<>	<>
'2B4086	*U972	M7-CS12-N1	5	1	NAP	<>	<>
'2B400C	*U972	M7-CS12-N2	5	1	NAP	<>	<>
'2B4002	*U972	M7-CS12-N3	5	1	NAP	<>	<>
'2B3FF8	*U972	M7-CS12-N4	5	1	NAP	<>	<>
'2B3DAE	*U972	M6-CS10B-N4	5	1	NAP	<>	<>
'2B3DA4	*U972	M6-CS10B-N3	5	1	NAP	<>	<>
'2B3D9A	*U972	M6-CS10B-N2	5	1	NAP	<>	<>
'2B25DD	*U971	CL1-D4-M10	3	<>	FDT	A	5-6-7-8-9-10
'2B2150	*U973	M9-CS3-N4	3	1	NAP	<>	<>
'2B0FFD	CAJA EMPALME 144	OBTO02-CL3	<>	<>	CLOSURE	<>	<>
'2B0621	*U971	M9-D4-M12	11	<>	FDT	A	11-12
'2B060D	*U971	CL3-D4-M9	11	<>	FDT	A	3-4-5
'2B0602	*U972	M8-CS1B-N4	11	1	NAP	<>	<>
'2B05D2	*U972	M9-CS6C-N3	6	1	NAP	<>	<>
'2B05B6	*U971	CL1-D2-M5	2	<>	FDT	A	6-7
'2B05AB	*U971	M6-D2-M7	5	<>	FDT	A	12
'2B0598	*U972	M9-CS4-N3	3	1	NAP	<>	<>
'2B057D	*U971	M5-D2-M6	2	<>	FDT	A	8
'2B056F	*U971	M6-D2-M7	2	<>	FDT	A	9
'2B0540	*U972	M8-CS11B-N4	2	1	NAP	<>	<>
'2B0536	*U972	M8-CS11B-N3	2	1	NAP	<>	<>
'2B052C	*U972	M8-CS11A-N2	2	1	NAP	<>	<>
'2B0522	*U972	M8-CS11A-N1	2	1	NAP	<>	<>
'2B050E	*U971	CL3-D2-M4	9	<>	FDT	A	6-7-8
'2B0503	*U972	M4-CS7A-N2	9	1	NAP	<>	<>
'2B04F9	*U972	M4-CS7A-N1	9	1	NAP	<>	<>
'2B04EF	*U972	M4-CS6B-N4	9	1	NAP	<>	<>
'2B04E3	*U972	M4-CS6A-N1	9	1	NAP	<>	<>
'2B04D9	*U972	M4-CS6A-N2	9	1	NAP	<>	<>
'2B04CF	*U972	M4-CS6A-N3	9	1	NAP	<>	<>
'2B04C2	*U972	M4-CS7B-N4	9	1	NAP	<>	<>
'2B04B8	*U972	M4-CS7B-N3	9	1	NAP	<>	<>
'2B04AE	*U972	M4-CS8A-N1	9	1	NAP	<>	<>
'2B04A2	*U972	M4-CS8B-N2	9	1	NAP	<>	<>
'2B0498	*U972	M4-CS8B-N3	9	1	NAP	<>	<>
'2B048E	*U972	M4-CS8B-N4	9	1	NAP	<>	<>
'2B047F	*U972	M10-CS8A-N2	11	1	NAP	<>	<>
'2B0475	*U972	M10-CS7B-N4	11	1	NAP	<>	<>
'2B046B	*U972	M10-CS8A-N1	11	1	NAP	<>	<>
'2B045E	*U972	M10-CS7A-N1	11	1	NAP	<>	<>
'2B0454	*U972	M10-CS7A-N2	11	1	NAP	<>	<>
'2B044A	*U972	M10-CS7A-N3	11	1	NAP	<>	<>
'2B043B	*U972	M10-CS8B-N4	11	1	NAP	<>	<>
'2B0431	*U972	M10-CS8B-N3	11	1	NAP	<>	<>
'2B0427	*U972	M10-CS6A-N1	11	1	NAP	<>	<>
'2B041D	*U971	M9-D4-M10	11	<>	FDT	A	6-7-8
'2B0246	*U971	CL2-D1-M3	4	<>	FDT	A	8-9-10-11-12
'2AFF43	*U971	CL1-D1-M3	1	<>	FDT	A	10-11-12
'2AFF39	*U971	CL3-D5-M13	12	<>	FDT	A	1-2-3-4-5-6
'2AFF2A	*U971	CL3-D5-M14	12	<>	FDT	A	7
'2AFF1D	*U971	M14-D5-M15	12	<>	FDT	A	8-9
'2AFEFA	*U971	CL3-D3-M6	10	<>	FDT	A	1-2-3-4
'2AFEE7	*U971	M9-D4-M11	11	<>	FDT	A	9-10
'2AFEDB	*U971	CL3-D4-M8	11	<>	FDT	A	1-2
'2AFEC8	*U971	CL3-D2-M3	9	<>	FDT	A	1-2-3-4-5
'2AFEAD	*U971	CL3-D1-M1	8	<>	FDT	A	1-2-3-4-5
'2AFE8E	*U971	CL3-D1-M2	8	<>	FDT	A	6-7-8-9-10
'2AFE7B	*U971	M4-D2-M5	9	<>	FDT	A	9-10-11
'2AFE69	*U971	CL3-D3-M7	10	<>	FDT	A	5-6-7-8-9-10
'2AFE4E	*U972	M13-CS6-N1	12	1	NAP	<>	<>
'2AFE44	*U972	M13-CS1-N1	12	1	NAP	<>	<>
'2AFE3A	*U972	M13-CS2-N1	12	1	NAP	<>	<>
'2AFE30	*U972	M13-CS2-N2	12	1	NAP	<>	<>
'2AFE26	*U972	M13-CS2-N3	12	1	NAP	<>	<>
'2AFE1C	*U972	M13-CS1-N3	12	1	NAP	<>	<>
'2AFE12	*U972	M13-CS1-N2	12	1	NAP	<>	<>
'2AFE08	*U972	M13-CS1-N4	12	1	NAP	<>	<>
'2AFDFE	*U972	M7-CS6-N2	10	1	NAP	<>	<>
'2AFDF4	*U972	M7-CS6-N3	10	1	NAP	<>	<>
'2AFDEA	*U972	M7-CS6-N1	10	1	NAP	<>	<>
'2AFDE0	*U972	M6-CS2-N4	10	1	NAP	<>	<>
'2AFDD6	*U972	M7-CS9-N4	10	1	NAP	<>	<>
'2AFDCC	*U972	M7-CS6-N4	10	1	NAP	<>	<>
'2AFDC2	*U972	M7-CS8-N1	10	1	NAP	<>	<>
'2AFDB8	*U972	M7-CS7-N1	10	1	NAP	<>	<>
'2AFDAE	*U972	M9-CS4-N3	11	1	NAP	<>	<>
'2AFDA4	*U972	M9-CS4-N2	11	1	NAP	<>	<>
'2AFD9A	*U972	M9-CS4-N1	11	1	NAP	<>	<>
'2AFD90	*U972	M7-CS7-N2	10	1	NAP	<>	<>
'2AFD86	*U972	M7-CS9-N3	10	1	NAP	<>	<>
'2AFD7C	*U972	M7-CS10-N1	10	1	NAP	<>	<>
'2AFD72	*U972	M7-CS9-N2	10	1	NAP	<>	<>
'2AFD68	*U972	M13-CS4-N1	12	1	NAP	<>	<>
'2AFD5E	*U972	M13-CS4-N2	12	1	NAP	<>	<>
'2AFD54	*U972	M13-CS4-N3	12	1	NAP	<>	<>
'2AFD4A	*U972	M7-CS8-N2	10	1	NAP	<>	<>
'2AFD40	*U972	M7-CS8-N3	10	1	NAP	<>	<>
'2AFD36	*U972	M7-CS5-N1	10	1	NAP	<>	<>
'2AFD2C	*U972	M7-CS7-N3	10	1	NAP	<>	<>
'2AFD22	*U972	M7-CS9-N1	10	1	NAP	<>	<>
'2AFD18	*U972	M7-CS10-N2	10	1	NAP	<>	<>
'2AFD0E	*U972	M7-CS10-N3	10	1	NAP	<>	<>
'2AFD04	*U972	M7-CS10-N4	10	1	NAP	<>	<>
'2AFCFA	*U972	M7-CS5-N2	10	1	NAP	<>	<>
'2AFCF0	*U972	M7-CS5-N3	10	1	NAP	<>	<>
'2AFCE6	*U972	M7-CS5-N4	10	1	NAP	<>	<>
'2AFCDC	*U972	M13-CS5-N1	12	1	NAP	<>	<>
'2AFCD2	*U972	M13-CS5-N2	12	1	NAP	<>	<>
'2AFCC8	*U972	M7-CS7-N4	10	1	NAP	<>	<>
'2AFCBE	*U972	M7-CS8-N4	10	1	NAP	<>	<>
'2AFCB4	*U972	M13-CS4-N4	12	1	NAP	<>	<>
'2AFCAA	*U972	M13-CS3-N1	12	1	NAP	<>	<>
'2AFCA0	*U972	M13-CS5-N3	12	1	NAP	<>	<>
'2AFC96	*U972	M13-CS5-N4	12	1	NAP	<>	<>
'2AFC8C	*U972	M13-CS3-N2	12	1	NAP	<>	<>
'2AFC82	*U972	M13-CS3-N3	12	1	NAP	<>	<>
'2AFC78	*U972	M13-CS3-N4	12	1	NAP	<>	<>
'2AFC6E	*U972	M13-CS6-N2	12	1	NAP	<>	<>
